,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,aykhal,90,RU,1571364811,100,65.95,111.51,30.2,8.95
1,carnarvon,100,ZA,1571364811,47,-30.97,22.13,68.51,6.67
2,victoria,75,BN,1571364812,74,5.28,115.24,86.0,5.82
3,busselton,53,AU,1571364812,34,-33.64,115.35,66.99,8.1
4,norman wells,90,CA,1571364812,95,65.28,-126.83,32.0,5.82
5,nikolskoye,90,RU,1571364812,100,59.7,30.79,39.99,6.71
6,ahipara,100,NZ,1571364813,82,-35.17,173.16,68.0,24.29
7,albany,90,US,1571364814,71,42.65,-73.75,51.8,10.29
8,husavik,100,CA,1571364814,73,50.56,-96.99,46.99,7.0
9,mataura,44,NZ,1571364814,66,-46.19,168.86,57.0,15.01
10,hermanus,42,ZA,1571364815,96,-34.42,19.24,60.01,9.15
11,barrow,58,AR,1571364815,94,-38.31,-60.23,51.54,13.49
12,kapaa,40,US,1571364815,74,22.08,-159.32,82.4,14.99
13,severo-kurilsk,97,RU,1571364815,71,50.68,156.12,41.14,29.73
14,leningradskiy,100,RU,1571364816,94,69.38,178.42,34.01,13.44
15,turukhansk,100,RU,1571364816,95,65.8,87.96,26.47,7.47
16,saint george,20,GR,1571364816,93,39.45,22.34,59.0,1.01
17,flinders,0,AU,1571364816,16,-34.58,150.85,78.01,6.93
18,kavaratti,100,IN,1571364817,81,10.57,72.64,80.99,15.97
19,sacramento,1,US,1571364817,32,38.58,-121.49,71.6,4.7
20,balaipungut,100,ID,1571364817,62,1.11,101.31,89.03,1.43
21,ust-nera,100,RU,1571364818,91,64.57,143.24,10.73,2.1
22,rio grande,85,BR,1571364818,98,-32.03,-52.1,64.59,3.83
23,hualmay,95,PE,1571364818,89,-11.1,-77.61,61.75,16.82
24,mar del plata,2,AR,1571364818,40,-46.43,-67.52,55.61,19.17
25,beringovskiy,86,RU,1571364818,80,63.05,179.32,27.98,5.37
26,bluff,0,AU,1571364819,38,-23.58,149.07,90.62,5.01
27,bambous virieux,20,MU,1571364819,64,-20.34,57.76,69.8,10.29
28,sept-iles,90,CA,1571364819,86,50.2,-66.38,42.01,18.34
29,esperance,90,AU,1571364819,51,-33.86,121.89,62.6,12.75
30,saldanha,98,PT,1571364821,91,41.42,-6.55,54.19,3.65
31,ushuaia,40,AR,1571364821,49,-54.81,-68.31,48.2,10.29
32,broome,72,GB,1571364821,100,52.47,1.45,54.0,4.7
33,padang,46,ID,1571364821,87,-0.92,100.36,78.27,12.62
34,ust-tsilma,13,RU,1571364821,96,65.44,52.15,26.95,1.45
35,rikitea,100,PF,1571364822,86,-23.12,-134.97,70.01,16.31
36,tateyama,75,JP,1571364822,68,36.66,137.31,68.0,3.36
37,kutno,88,PL,1571364822,93,52.23,19.36,48.99,1.12
38,sao filipe,100,CV,1571364823,81,14.9,-24.5,80.09,10.22
39,lebu,73,ET,1571364823,82,8.96,38.73,47.24,3.91
40,airai,6,TL,1571364823,53,-8.93,125.41,84.32,8.21
41,kattivakkam,75,IN,1571364823,94,13.22,80.32,78.8,3.4
42,port elizabeth,90,US,1571364824,54,39.31,-74.98,55.4,20.8
43,cabedelo,90,BR,1571364824,100,-6.97,-34.84,73.4,12.75
44,san rafael,36,AR,1571364824,42,-34.61,-68.33,58.25,4.7
45,atambua,37,ID,1571364824,75,-9.11,124.89,78.54,7.47
46,punta arenas,75,CL,1571364824,65,-53.16,-70.91,44.6,6.93
47,karpathos,0,GR,1571364825,88,35.51,27.21,66.2,6.93
48,puerto ayora,6,EC,1571364825,91,-0.74,-90.35,66.99,5.99
49,thompson,90,CA,1571364826,88,55.74,-97.86,41.0,6.93
50,hobart,75,AU,1571364826,39,-42.88,147.33,66.0,17.22
51,honiara,20,SB,1571364826,70,-9.43,159.96,86.0,9.17
52,shimoda,75,JP,1571364826,88,34.7,138.93,64.4,23.04
53,tuatapere,0,NZ,1571364826,66,-46.13,167.69,57.0,15.01
54,kalmunai,15,LK,1571364827,74,7.42,81.82,82.82,1.03
55,cape town,20,ZA,1571364827,100,-33.93,18.42,63.0,10.29
56,muroto,75,JP,1571364827,65,33.37,134.14,77.0,5.82
57,honningsvag,96,NO,1571364828,71,70.98,25.97,32.06,8.77
58,butaritari,71,KI,1571364828,71,3.07,172.79,84.37,12.41
59,siguiri,35,GN,1571364828,65,11.42,-9.17,74.33,2.95
60,longyearbyen,75,NO,1571364828,63,78.22,15.63,26.6,8.05
61,saint-philippe,90,CA,1571364829,100,45.36,-73.48,46.0,4.7
62,srandakan,83,ID,1571364829,82,-7.94,110.25,76.47,9.78
63,bambanglipuro,83,ID,1571364829,82,-7.95,110.28,76.47,9.78
64,mercedes,51,UY,1571364829,95,-33.25,-58.03,58.6,9.78
65,carballo,0,ES,1571364830,87,43.21,-8.69,60.01,5.82
66,fiche,65,ET,1571364830,68,9.77,38.74,52.55,3.47
67,lompoc,1,US,1571364830,71,34.64,-120.46,62.6,13.87
68,ilulissat,100,GL,1571364830,63,69.22,-51.1,26.6,2.24
69,fuxin,100,CN,1571364831,32,42.02,121.65,59.82,6.08
70,rosarito,40,CO,1571364831,83,4.91,-75.23,75.2,9.17
71,mazagao,40,BR,1571364831,83,-0.12,-51.29,82.4,8.05
72,cherskiy,99,RU,1571364831,94,68.75,161.3,17.45,11.52
73,khatanga,33,RU,1571364831,95,71.98,102.47,4.76,2.48
74,xining,0,CN,1571364832,33,36.62,101.77,41.48,5.01
75,severnoye,97,RU,1571364832,74,54.09,52.54,37.91,10.71
76,camocim,1,BR,1571364832,86,-2.9,-40.84,74.09,6.49
77,yaring,40,TH,1571364833,94,6.87,101.37,78.8,3.36
78,hithadhoo,100,MV,1571364833,80,-0.6,73.08,81.71,17.22
79,boa esperanca,78,BR,1571364833,87,-1.91,-60.0,74.29,1.23
80,tupiza,0,BO,1571364833,59,-21.44,-65.72,42.2,4.61
81,dikson,100,RU,1571364833,91,73.51,80.55,25.33,11.01
82,palmas,20,BR,1571364834,100,-10.18,-48.33,75.2,2.24
83,mahebourg,20,MU,1571364834,64,-20.41,57.7,69.8,10.29
84,mae hong son,75,MM,1571364835,88,19.3,97.96,75.2,1.9
85,tasiilaq,4,GL,1571364835,68,65.61,-37.64,28.4,3.42
86,batanovci,0,BG,1571364835,81,42.6,22.95,54.0,1.83
87,hamilton,90,CA,1571364836,75,43.26,-79.87,48.99,9.17
88,lubango,2,AO,1571364836,72,-14.92,13.49,71.32,1.25
89,beloha,0,MG,1571364836,67,-25.17,45.06,64.7,11.34
90,pelym,100,RU,1571364837,89,61.01,62.0,26.21,3.18
91,rio rancho,1,US,1571364837,43,35.27,-106.63,68.0,5.82
92,henties bay,0,NA,1571364837,94,-22.12,14.28,62.01,7.0
93,tuktoyaktuk,40,CA,1571364837,85,69.44,-133.03,23.0,13.87
94,atuona,0,PF,1571364837,73,-9.8,-139.03,80.39,15.55
95,belyy yar,0,RU,1571364838,52,53.6,91.39,37.4,15.66
96,jamestown,0,AU,1571364838,24,-33.21,138.6,71.09,18.92
97,port lincoln,76,AU,1571364838,85,-34.72,135.86,57.68,24.25
98,ribeira grande,99,PT,1571364838,88,38.52,-28.7,68.6,21.52
99,goba,39,ET,1571364839,90,7.01,39.97,43.57,3.98
100,chokurdakh,15,RU,1571364839,92,70.62,147.9,13.18,8.32
101,arraial do cabo,0,BR,1571364839,82,-22.97,-42.02,71.83,20.83
102,los llanos de aridane,77,ES,1571364839,64,28.66,-17.92,68.0,8.05
103,castro,75,CL,1571364840,76,-42.48,-73.76,48.2,8.05
104,acapulco,75,MX,1571364840,88,16.86,-99.88,77.0,2.24
105,cururupu,0,BR,1571364840,93,-1.82,-44.87,72.89,3.04
106,durango,90,MX,1571364841,49,24.02,-104.67,69.8,3.36
107,new norfolk,75,AU,1571364841,39,-42.78,147.06,66.0,17.22
108,abrau-dyurso,90,RU,1571364841,93,44.7,37.6,51.8,2.24
109,vaini,75,IN,1571364841,94,15.34,74.49,71.6,5.82
110,botwood,90,CA,1571364842,81,49.14,-55.34,46.0,18.34
111,polyarnyy,40,RU,1571364842,79,69.2,33.45,28.4,2.24
112,chuy,100,UY,1571364842,97,-33.69,-53.46,60.63,14.76
113,qostanay,75,KZ,1571364842,82,53.17,63.58,39.2,20.13
114,codrington,0,AU,1571364843,41,-28.95,153.24,82.0,9.17
115,farafangana,14,MG,1571364843,82,-22.82,47.83,62.93,0.92
116,west bay,90,CA,1571364843,93,49.34,-123.21,53.01,10.29
117,port macquarie,0,AU,1571364843,26,-31.43,152.91,73.99,12.75
118,ponta do sol,0,BR,1571364844,67,-20.63,-46.0,69.79,5.12
119,avarua,100,CK,1571364844,78,-21.21,-159.78,77.0,13.87
120,alamogordo,1,US,1571364845,42,32.9,-105.96,73.4,8.05
121,kitimat,90,CA,1571364845,93,54.02,-128.69,46.4,5.82
122,constitucion,90,MX,1571364845,49,23.99,-104.67,69.8,3.36
123,quatre cocos,20,MU,1571364845,64,-20.21,57.76,69.8,10.29
124,fairbanks,40,US,1571364846,55,64.84,-147.72,37.4,3.36
125,kirakira,39,SB,1571364846,84,-10.46,161.92,81.35,16.28
126,manokwari,100,ID,1571364846,86,-0.87,134.08,76.81,5.17
127,kavarna,90,BG,1571364847,100,43.43,28.33,48.2,4.7
128,narsaq,100,GL,1571364847,42,60.91,-46.05,44.6,11.41
129,belen,1,US,1571364847,32,34.66,-106.78,68.0,10.29
130,provideniya,75,RU,1571364848,74,64.42,-173.23,33.8,4.47
131,hilo,20,US,1571364848,58,19.71,-155.08,84.2,10.29
132,gornopravdinsk,56,RU,1571364848,78,60.06,69.92,24.86,4.0
133,beberibe,20,BR,1571364848,74,-4.18,-38.13,80.6,14.99
134,burnie,100,AU,1571364849,87,-41.05,145.91,54.0,13.0
135,dunedin,100,NZ,1571364850,83,-45.87,170.5,48.99,23.0
136,ambilobe,49,MG,1571364850,73,-13.19,49.05,73.86,8.95
137,santa fe,2,AR,1571364851,89,-31.62,-60.7,62.01,4.0
138,teya,40,MX,1571364851,74,21.05,-89.07,86.0,4.7
139,tangwani,0,PK,1571364851,83,28.28,69.0,73.4,5.12
140,grindavik,0,IS,1571364851,63,63.84,-22.43,37.4,8.05
141,melbourne,40,AU,1571364851,51,-37.81,144.96,66.99,19.46
142,coxim,35,BR,1571364852,43,-18.5,-54.75,84.73,9.13
143,chapais,90,CA,1571364852,93,49.78,-74.86,41.0,10.29
144,kahului,40,US,1571364852,54,20.89,-156.47,84.2,19.46
145,lorengau,100,PG,1571364852,89,-2.02,147.27,79.48,8.84
146,pevek,100,RU,1571364852,91,69.7,170.27,32.12,11.86
147,ilebo,9,CD,1571364853,98,-4.33,20.59,67.27,0.49
148,upernavik,100,GL,1571364853,97,72.79,-56.15,29.74,14.36
149,osinki,100,PL,1571364853,76,54.14,22.99,52.87,5.84
150,kodiak,1,US,1571364853,71,39.95,-94.76,57.2,8.05
151,qaanaaq,100,GL,1571364854,83,77.48,-69.36,10.79,12.66
152,lagoa,20,PT,1571364854,93,37.14,-8.45,66.99,2.24
153,nanortalik,77,GL,1571364854,83,60.14,-45.24,37.1,3.49
154,tiarei,20,PF,1571364854,70,-17.53,-149.33,84.2,14.99
155,malatya,0,TR,1571364855,81,38.35,38.32,50.0,6.93
156,hovd,0,NO,1571364855,70,63.83,10.7,48.0,4.7
157,talnakh,29,RU,1571364855,78,69.49,88.39,10.4,24.61
158,san isidro,40,CR,1571364855,94,10.02,-84.06,69.8,3.36
159,torbay,90,CA,1571364856,100,47.66,-52.73,48.0,18.34
160,kralendijk,89,BQ,1571364856,78,12.15,-68.27,82.4,11.41
161,yellowknife,90,CA,1571364856,89,62.45,-114.38,33.8,8.05
162,sambava,79,MG,1571364856,96,-14.27,50.17,67.81,3.53
163,chistogorskiy,98,RU,1571364857,80,53.98,87.38,35.36,16.2
164,cabo san lucas,5,MX,1571364857,78,22.89,-109.91,81.0,9.17
165,port alfred,82,ZA,1571364857,90,-33.59,26.89,66.99,1.99
166,namibe,0,AO,1571364857,89,-15.19,12.15,70.82,3.15
167,mount isa,86,AU,1571364858,12,-20.73,139.49,95.0,9.17
168,georgetown,40,GY,1571364858,94,6.8,-58.16,75.2,4.7
169,whitecourt,75,CA,1571364858,57,54.14,-115.68,50.0,4.7
170,kiama,0,AU,1571364858,16,-34.67,150.86,73.99,6.93
171,isabela,12,PH,1571364858,72,10.2,122.99,82.61,6.44
172,komsomolskiy,0,RU,1571364859,91,67.55,63.78,17.97,4.52
173,ocampo,22,MX,1571364859,82,27.32,-102.4,62.16,5.77
174,batemans bay,0,AU,1571364860,50,-35.71,150.18,68.0,10.0
175,banda aceh,100,ID,1571364860,81,5.56,95.32,81.4,16.06
176,jalu,100,LY,1571364860,73,29.03,21.55,71.5,6.17
177,marsa matruh,0,EG,1571364861,72,31.35,27.25,66.2,2.24
178,bangolo,16,CI,1571364861,99,7.01,-7.49,69.43,1.54
179,tonstad,0,NO,1571364861,95,58.66,6.71,46.0,1.01
180,marzuq,51,YE,1571364862,63,14.4,46.47,68.21,2.68
181,manuk mangkaw,40,PH,1571364862,68,4.8,119.85,84.32,8.57
182,namatanai,100,PG,1571364862,82,-3.66,152.44,79.91,21.14
183,zyryanka,46,RU,1571364863,78,65.73,150.89,15.54,3.91
184,salym,58,RU,1571364863,76,60.06,71.48,24.38,4.79
185,aklavik,75,CA,1571364863,79,68.22,-135.01,24.8,14.99
186,kytmanovo,99,RU,1571364864,91,53.46,85.45,32.89,16.26
187,obihiro,20,JP,1571364864,57,42.92,143.2,48.2,3.36
188,lazaro cardenas,5,MX,1571364864,72,28.39,-105.62,69.01,5.21
189,karanganyar,86,ID,1571364865,44,-7.6,110.95,84.95,3.38
190,candido mendes,0,BR,1571364865,92,-1.45,-45.72,72.96,3.24
191,kruisfontein,98,ZA,1571364865,96,-34.0,24.73,60.54,6.44
192,angul,0,IN,1571364865,78,20.84,85.1,79.75,1.97
193,nouadhibou,18,MR,1571364866,61,20.93,-17.03,78.8,17.22
194,batagay-alyta,51,RU,1571364866,84,67.8,130.41,14.62,2.57
195,fort nelson,75,CA,1571364866,95,58.81,-122.69,33.8,2.24
196,saskylakh,6,RU,1571364867,94,71.97,114.09,-2.48,3.04
197,tilichiki,54,RU,1571364867,66,60.47,166.1,29.49,11.18
198,saint anthony,1,US,1571364867,37,43.97,-111.68,51.8,16.11
199,shelburne,90,CA,1571364867,75,44.08,-80.2,46.99,13.87
200,kavieng,100,PG,1571364868,78,-2.57,150.8,83.33,17.56
201,umm lajj,0,SA,1571364868,75,25.02,37.27,85.7,11.34
202,lufilufi,75,WS,1571364868,74,-13.87,-171.6,87.8,3.36
203,angoche,5,MZ,1571364868,97,-16.23,39.91,71.81,3.44
204,okhotsk,89,RU,1571364869,52,59.36,143.24,32.26,12.15
205,dabakala,52,CI,1571364869,93,8.36,-4.43,72.47,4.14
206,beboto,100,TD,1571364869,96,8.27,16.94,71.77,3.2
207,suratgarh,5,IN,1571364869,28,29.32,73.9,82.46,7.56
208,klaksvik,100,FO,1571364870,93,62.23,-6.59,48.2,9.17
209,xichang,5,CN,1571364870,64,27.88,102.25,58.4,3.85
210,neiafu,75,TO,1571364870,83,-18.65,-173.98,78.8,4.7
211,mayuge,99,UG,1571364870,99,0.46,33.48,61.62,0.69
212,dabra,20,IN,1571364871,59,25.88,78.33,77.87,4.12
213,san cristobal,53,HN,1571364871,89,14.68,-86.92,67.42,3.13
214,kloulklubed,75,PW,1571364871,78,7.04,134.26,82.4,4.7
215,sitka,89,US,1571364871,37,37.17,-99.65,69.01,14.0
216,kaitangata,100,NZ,1571364871,72,-46.28,169.85,48.14,17.05
217,tiksi,0,RU,1571364872,87,71.64,128.87,3.53,8.25
218,uravakonda,100,IN,1571364872,84,14.95,77.26,75.95,7.29
219,bintulu,90,MY,1571364872,100,3.17,113.03,77.0,2.24
220,pangnirtung,100,CA,1571364872,97,66.15,-65.72,25.17,1.61
221,simplicio mendes,0,BR,1571364872,38,-7.85,-41.91,78.92,7.61
222,damietta,0,EG,1571364873,78,31.42,31.81,75.2,5.82
223,bilibino,100,RU,1571364873,96,68.06,166.44,13.99,2.44
224,khandyga,100,RU,1571364873,96,62.65,135.58,30.34,4.27
225,nizhniy ingash,87,RU,1571364873,69,56.2,96.53,40.56,14.76
226,east london,98,ZA,1571364874,35,-33.02,27.91,69.7,1.79
227,kirensk,100,RU,1571364874,67,57.78,108.12,39.55,4.43
228,caceres,100,CO,1571364874,97,5.53,-74.53,65.26,3.27
229,sala consilina,0,IT,1571364874,88,40.4,15.6,49.22,2.17
230,marrakesh,0,MA,1571364875,59,31.63,-7.99,62.6,3.36
231,kamenka,0,MD,1571364875,90,48.03,28.7,39.0,2.26
232,camacha,20,PT,1571364876,88,33.08,-16.33,69.8,2.24
233,myshkin,99,RU,1571364876,94,57.78,38.45,44.2,6.87
234,meliti,29,GR,1571364876,53,40.83,21.58,57.0,3.0
235,cockburn town,15,TC,1571364876,73,21.46,-71.14,83.6,7.4
236,kodinsk,100,RU,1571364876,78,58.6,99.18,41.23,9.17
237,araouane,9,ML,1571364877,21,18.9,-3.53,86.44,8.48
238,iqaluit,90,CA,1571364877,90,63.75,-68.52,32.0,14.99
239,roald,84,NO,1571364877,87,62.58,6.12,48.99,3.36
240,vanavara,100,RU,1571364878,81,60.35,102.28,39.26,9.1
241,coari,95,BR,1571364878,92,-4.09,-63.14,74.83,1.97
242,vardo,1,US,1571364878,53,39.62,-77.74,52.0,12.75
243,evensk,0,RU,1571364878,58,61.92,159.24,21.62,9.53
244,kieta,100,PG,1571364878,76,-6.22,155.63,82.99,15.64
245,necochea,66,AR,1571364879,96,-38.55,-58.74,55.0,8.01
246,mosquera,20,CO,1571364879,82,4.71,-74.23,57.2,3.36
247,menongue,2,AO,1571364879,44,-14.66,17.68,63.4,3.65
248,raudeberg,90,NO,1571364880,93,61.99,5.14,48.99,20.8
249,peniche,75,PT,1571364880,93,39.36,-9.38,61.0,11.41
250,warrington,75,GB,1571364880,93,53.39,-2.59,50.0,4.7
251,beauvais,90,FR,1571364880,87,49.44,2.09,57.2,11.41
252,calatayud,100,ES,1571364881,82,41.35,-1.64,62.6,5.82
253,pacific grove,1,US,1571364881,67,36.62,-121.92,64.0,10.29
254,lasa,73,CY,1571364881,82,34.92,32.53,68.0,4.7
255,kedrovyy,75,RU,1571364881,93,56.17,91.82,35.6,13.42
256,karratha,0,AU,1571364882,11,-20.74,116.85,98.41,11.03
257,aravankadu,75,IN,1571364882,88,11.37,76.77,75.2,3.36
258,hami,100,CN,1571364882,27,42.84,93.51,61.08,4.32
259,clyde river,90,CA,1571364882,100,70.47,-68.59,30.2,24.16
260,nabire,100,ID,1571364882,89,-3.36,135.5,79.17,2.35
261,bowen,0,AU,1571364883,45,-20.01,148.25,86.0,13.87
